web-scraper-order,web-scraper-start-url,Event,Event-href,Title,Date and Time,Location,Description,Organizer_link,Organizer_link-href
"1681240354-206","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=3","Earth Day 2023 with Solar One and Brooklyn Public LibraryEarth Day 2023 with Solar One and Brooklyn Public Library","https://www.eventbrite.com/e/earth-day-2023-with-solar-one-and-brooklyn-public-library-tickets-608917256907?aff=ebdssbdestsearch","Earth Day 2023 with Solar One and Brooklyn Public Library","Saturday, April 22 · 11am - 1pm EDT","Central Library 10 Grand Army Plaza Brooklyn, NY 11238","About this event2 hoursMobile eTicketJoin two local non-profits, Solar One and Brooklyn Public Library, in celebrating Earth Day 2023! Since 2016, these two organizations have been collaborating on renewable energy projects at different libraries to make the buildings more resilient and reduce carbon impact on the grid. Those projects are finally built and ready to share with the community. Featured activities include a movie screening about climate change, demonstration of the BPL renewable system production, information on solar + battery energy storage for your building in Brooklyn, and  DIY activities to demonstrate how the technology works. E﻿mail CoralDelMar@solar1.org with questions.","Solar One","https://www.eventbrite.com/o/solar-one-64131680153"
"1681240361-207","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Energy Efficiency: Unlocking Climate Action in SchoolsEnergy Efficiency: Unlocking Climate Action in Schools","https://www.eventbrite.com/e/energy-efficiency-unlocking-climate-action-in-schools-registration-590132501197?aff=ebdssbdestsearch","Energy Efficiency: Unlocking Climate Action in Schools","Wednesday, April 19 · 9am - 3pm EDT","NYCDOE Division of School Facilities 44-36 Vernon Blvd 5th Floor Training Room Long Island City, NY 11101","About this event6 hoursMobile eTicketDid you know that buildings are the largest source of greenhouse gas emissions in NYC? Reducing our energy use = climate action! But “energy efficiency” can feel abstract.Join the DOE Office of Sustainability and Solar One for a day of standards-aligned, hands-on activities. Explore ways to take climate action by reducing carbon emissions in schools and at home. You'll leave with a toolkit to bring energy efficiency to life in your classroom. Activities include:conducting a classroom energy audit light bulb lab - During this activity, students compare different light bulbs to calculate the efficacy of each type. Students collect data such as color temperature, Lumens, Wattage, lifespan, and price to assess which light bulbs are most environmentally friendly and cost effective. watt game - To gain a deeper understanding of how much electricity we use each day,  students play a card game where they match commonly used appliances to their average Wattage. They will learn to differentiate between Watts and Watt Hours and will explore the concept of ""phantom load.""Teachers will receive up to 5 hours of CTLE credit for attending. Details:Date: April 19, 2023Time: 9:00- 3:00pm Location: DOE Division of School Facilities, 44-36 Vernon Blvd, Queens, NY 11101Audience: DOE teachers, all subjects, grades 3-12 Lunch is provided! Frequently asked questionsCan I earn CTLE credits?Can I earn A+ or P credit?Do you have parking?Is your building accessible?","NYC DOE Office of Sustainability","https://www.eventbrite.com/o/nyc-doe-office-of-sustainability-22898367351"
"1681240364-208","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Boozy Climate Change Group Talk! A Celebration of Earth MonthBoozy Climate Change Group Talk! A Celebration of Earth Month","https://www.eventbrite.com/e/boozy-climate-change-group-talk-a-celebration-of-earth-month-tickets-490822381957?aff=ebdssbdestsearch","Boozy Climate Change Group Talk! A Celebration of Earth Month","Wednesday, April 19 · 6 - 8pm EDT","Farm To People - Kitchen, Bar & Online Farmers Market 1100 Flushing Avenue Brooklyn, NY 11237","About this event2 hoursMobile eTicketJoin us for Earth Day Boozy Climate Change Group Talk! Get your buzz on and talk about the pressing issues around climate change and how YOU can actually do something about it!We’re hosting a happy hour and incorporating a speed dating style group talk activity so you can get real with other like-minded, passionate individuals who also want to make a change. Each table will explore topics like renewable energy, sustainable fashion, and regenerative agriculture and will have interesting articles and sample questions. Plus, there will be representatives from local and national organizations at each table to help you get involved. And don't forget to grab a drink as you move to the next station!And don’t worry, you do not need to be an expert on any of these topics! We want to foster conversation between people from all different perspectives, no matter what your background is.-﻿-Check out our website and follow us on Instagram at @zerowastenycworkshop","Zero Waste NYC Workshop","https://www.eventbrite.com/o/zero-waste-nyc-workshop-25530465965"
"1681240367-209","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Build your climate career pathway with Kristy Drutman and Green Jobs BoardBuild your climate career pathway with Kristy Drutman and Green Jobs Board","https://www.eventbrite.com/e/build-your-climate-career-pathway-with-kristy-drutman-and-green-jobs-board-tickets-599190584167?aff=ebdssbdestsearch","Build your climate career pathway with Kristy Drutman and Green Jobs Board","Sunday, April 16 · 1:15 - 1:45pm EDT","Union Square Union Square North Plaza - E. 17th St. and Park Ave. New York, NY 10003","About this event30 minutesMobile eTicketIn this workshop, participants will get career-coaching support to build a career in the climate space. There will be a resume review, interview support, and self-branding discussion to support participants with taking the first step in getting a green job and building a longer-term climate career.F﻿ind our workshop space at the corner of E. 17th St and Park Ave South.S﻿eating is available on a first-come basis and a ticket does not guarantee a seat.","Earth Day Initiative","https://www.eventbrite.com/o/earth-day-initiative-8500394135"
"1681240371-210","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","THE DANCETHE DANCE","https://www.eventbrite.com/e/the-dance-tickets-601526641377?aff=ebdssbdestsearch","THE DANCE","Thursday, April 20 · 5:30 - 10pm EDT","Gospel 281 Lafayette Street New York, NY 10012","About this event4 hours 30 minutesMobile eTicket𝐖𝐞𝐥𝐜𝐨𝐦𝐞: 𝐭𝐡𝐞 𝐟𝐮𝐥𝐥 𝐟𝐨𝐫𝐜𝐞 𝐨𝐟 𝐭𝐡𝐢𝐬 𝐧𝐞𝐰 𝐬𝐞𝐚𝐬𝐨𝐧.𝐖𝐞𝐥𝐜𝐨𝐦𝐞: 𝐫𝐞𝐯𝐞𝐫𝐞𝐧𝐜𝐞 𝐟𝐨𝐫 𝐨𝐮𝐫 𝐌𝐨𝐭𝐡𝐞𝐫 𝐩𝐥𝐚𝐧𝐞𝐭.𝐖𝐞𝐥𝐜𝐨𝐦𝐞: 𝐚𝐥𝐜𝐡𝐞𝐦𝐲 𝐨𝐟 𝐭𝐡𝐞 𝐦𝐞𝐝𝐢𝐜𝐢𝐧𝐞𝐬 𝐰𝐢𝐭𝐡𝐢𝐧. ✧✧✧ 𝐖﻿𝐡𝐚𝐭 𝐚𝐧𝐜𝐞𝐬𝐭𝐫𝐚𝐥 𝐞𝐚𝐫𝐭𝐡 𝐰𝐢𝐬𝐝𝐨𝐦𝐬 𝐝𝐚𝐧𝐜𝐞 𝐡𝐞𝐫𝐞 ? ✧✧✧ TH U R S D A Y   ✧   APRIL 20⤐ 5:30pm | Welcome Lounge - Ritual Market⤐ 6:15pm | Opening Ceremony begins and includes a special botanical elixir ritual to guide your breathwork & meditation. THE DANCE is uniquely activated by the clarifying & healing power of the sacred plant teachers.⤐ 6:45pm | Guided Movement Medicine⤐ 7pm | THE DANCE: with DRĖĖĖMY & special guest multi-instrumental DJ ERIC TERENA, representing Youth4Climate at the United Nations forum on Indigenous Issues.⤐ 9:30pm | Closing Soundbath✧ DRESS: in what helps you move freely + adornments that tune you into your divinity✧ BRING: a vessel for drinking water (join us in minimizing waste & maximizing joy)✧ The RENEWAL LOUNGE will provide healing bodywork (massage, reiki, acupressure), nourishing and mystical offerings - tea and botanical refreshment - and space to deeply connect.(RSVP for a RENEWAL: Total Wellness Experience package to receive a sampling of all of our healing offerings together, including an additional medicinal elixir)_﻿____________________________________________________THE DANCE is an intentional experience that aims to infuse diverse dancefloors with natural healing technologies. We make alcohol-free nightlife a revolutionary space for reconnecting with plant medicine and multi-cultural healing wisdoms.It was founded in 2023 between NYC-based communities The Collective BAE and Ambrosia Elixirs after almost a decade of creating transformational day & nightlife gatherings that uplift and amplify connection, health, well-being and botanical medicines.We gather in a secular and elemental ceremonial setting informed by authentic ancestral wisdoms and practices + the universal rhythms of the cosmos. In this way, we intend to decolonize and ground conscious dance experiences so that the healing impact is integrated and enduring.","Ambrosia Elixirs","https://www.eventbrite.com/o/ambrosia-elixirs-17580819263"
"1681240375-211","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","The Bio-Inspired Green (BIG) Science & Technology SymposiumThe Bio-Inspired Green (BIG) Science & Technology Symposium","https://www.eventbrite.com/e/the-bio-inspired-green-big-science-technology-symposium-tickets-522736859017?aff=ebdssbdestsearch","The Bio-Inspired Green (BIG) Science & Technology Symposium","April 20 · 9am - April 21 · 5pm EDT","CUNY Advanced Science Research Center 85 Saint Nicholas Terrace New York, NY 10031","About this event1 day 8 hoursMobile eTicketThe annual Bio-Inspired Green (BIG) Science & Technology symposium will highlight advances in science, engineering, and policy that push us closer to sustainable living. This year's symposium will focus on 4 major themes around Bio-Inspired Green technologies in: HealthcareSustainable and smart fashionRenewable energyFunctional materials and smart buildings.We invite students and postdocs to submit their abstracts for a chance to present an in-person oral and visual presentation (not limited to a poster) and receive a waived in-person registration fee! Click here to submit your abstract.In-person participation includes access to all 4 sessions, a networking reception with catered food and drinks, and a visual presentation walk-through, throughout the 2-day event. Please visit our event webpage for detailed information and regular updates on programming and speakers.","CUNY Advanced Science Research Center","https://www.eventbrite.com/o/cuny-advanced-science-research-center-58691221673"
"1681240379-212","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","MAXforum: The Body+Technology= Comedy?MAXforum: The Body+Technology= Comedy?","https://www.eventbrite.com/e/maxforum-the-bodytechnology-comedy-tickets-595391009537?aff=ebdssbdestsearch","MAXforum: The Body+Technology= Comedy?","Wednesday, May 17 · 7 - 8:30pm EDT","ONX Studio 645 5th Avenue Lower Level, NY 10022","About this event1 hour 30 minutesMobile eTicketMay 17th @7pm at ONX Studio (645 5th Ave, Lower Level, NY 10022)MAXforum: The Virtual Body and ComedyMatt Romein and Kate LadenheimDoes tech make it harder to find the funny? Is physical comedy possible in virtual reality? Where is the balance between a live performer and a screen, and what makes the juxtaposition humorous? Dive into the comedic possibilities of technologies and the storytelling challenges encountered by artists operating in the world of mixed reality. In Bag of Worms, a darkly comic sketch by artist-coder-performer Matt Romein, live performance of motion capture systems interact with virtual gamified landscapes, achieving an immersive, madcap vision in which bodies are reshaped by digital effects, and vice versa. In Kate Ladenheim’s durational performance, Commit!, she responds in real-time to audience evaluation of her movements, and those of her avatar controlled by motion capture technology. Explore with them choreographing for both real and virtual bodies, and the complex relationship between violence and humor. Come see how humor brings anarchy and insight to the virtual realm!Matt Romein is an artist and performer based in Brooklyn NY. His work consists of live performance, virtual production, generative computer art, and multi-media installation. His video design and performance work has been shown at BAM, SchauSpielHaus Hamburg, Mana Contemporary, Soho Rep, The Public Theater, 3LD Art + Technology Center, and more. His art installation work has been shown at Sundance’s New Frontier Program, IDFA’s DocLab, and SXSW. He has had artist residencies and received grants from Pioneer Works, Google, CultureHub, Signal Culture, NYU, NEW INC, and more. He is currently a Studio Member at ONX where he is developing a motion capture theater piece called Bag of Worms.Kate Ladenheim is a choreographer, media designer, and creative technologist. Her work spans interactive installations, media design, performance and robotics. She researches bodies in motion and how they impact and are impacted by systems of social and technological pressure. Ladenheim holds an M.F.A. in Media Design Practices from ArtCenter College of Design. She has conducted research in motion interfaces for robotics design at U.C.L.A., and was the 2019-2020 Artist in Residence at the Robotics, Automation, & Dance Lab at the University of Illinois at Champaign-Urbana. Her artistic projects have been presented internationally, including at The Invisible Dog, National Sawdust, GrizzlyGrizzly, Brown University, Joe’s Pub at The Public Theater, The Edinburgh Fringe Festival, and The Performance Arcade (New Zealand). Her work has been celebrated in Dance Magazine as one of their “25 to Watch” and “Best of 2018.”MAX’s goal is to bring storytellers, performers, scientists, creative technologists, and audiences where they have never been before, giving thinkers in various disciplines an opportunity to explore and invent the future of our planet and democracy. In our public programs, we illuminate scientific innovation through artistic expression and broaden artistic expression through scientific discoveries. Your support goes a long way at MAX – into higher dimensions!The MAXforum conversation series is supported in part by public funds from the New York City Department of Cultural Affairs in partnership with the City Council and by the New York State Council on the Arts with the support of the Governor and the New York State Legislature.  Media Art Xploration, Inc is a 501 (c)(3) nonprofit organization. All donations are tax deductible. Donate","Media Art Xploration in collaboration with ONX Studio","https://www.eventbrite.com/o/media-art-xploration-in-collaboration-with-onx-studio-52313739623"
"1681240382-213","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Horticulture Walk: Climate Resilience in the Design of Brooklyn Bridge ParkHorticulture Walk: Climate Resilience in the Design of Brooklyn Bridge Park","https://www.eventbrite.com/e/horticulture-walk-climate-resilience-in-the-design-of-brooklyn-bridge-park-tickets-579639004867?aff=ebdssbdestsearch","Horticulture Walk: Climate Resilience in the Design of Brooklyn Bridge Park","Friday, April 21 · 5:30 - 6:30pm EDT","Brooklyn Bridge Park - Pier 1 2 Furman Street Brooklyn, NY 11201","About this event1 hourMobile eTicketMany of the design choices that went into the creation of Brooklyn Bridge Park have taken climate change and climate resilience in mind. These ranging from plant selection, planting strategies, and infrastructure design.On Friday, April 21 join Brooklyn Bridge Park Horticulturist Evelyn Manlove on a walk through the park to take a closer look at some of these elements and talk about how they prepare Brooklyn Bridge Park for the future.","Brooklyn Bridge Park Conservancy","https://www.eventbrite.com/o/brooklyn-bridge-park-conservancy-2153593361"
"1681240386-214","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Ask a Climate ScientistAsk a Climate Scientist","https://www.eventbrite.com/e/ask-a-climate-scientist-tickets-610428577307?aff=ebdssbdestsearch","Ask a Climate Scientist","Sunday, April 16 · 3:15am - 3:45pm EDT","Union Square Union Square North Plaza E. 17th St and Park Ave New York, NY 10003","About this event12 hours 30 minutesMobile eTicketDo you have a question about climate science? Join us for a live ""Ask Me Anything"" session with climate scientists representing local institutions including NYU and Columbia University.","March for Science NYC","https://www.eventbrite.com/o/march-for-science-nyc-31931880377"
"1681240389-215","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Just Food Futures: the Nexus of Climate and Racial JusticeJust Food Futures: the Nexus of Climate and Racial Justice","https://www.eventbrite.com/e/just-food-futures-the-nexus-of-climate-and-racial-justice-tickets-597254794167?aff=ebdssbdestsearch","Just Food Futures: the Nexus of Climate and Racial Justice","Thursday, April 20 · 9am - 12pm EDT","Kimmel Center for University Life 60 Washington Square South New York, NY 10012","About this event3 hoursMobile eTicketL﻿ocation: Kimmel 405/406Catskills Agrarian Alliance is excited to partner with NYU’s Environmental and Racial Justice Network to present Just Food Futures: the Nexus of Climate and Racial Justice. This event will explicitly draw out the connection between racial and environmental justice, how these lenses intersect with our food systems, and ultimately the role of food justice and sovereignty in the New York City food shed. We hope to invite students, food systems practitioners, and other members of the NYU community to interrogate and reflect on the systemic, institutional, and personal relationships we have with food and better align them towards the goal of racial and environmental justice.We’ll have food, student speakers, and a moderated panel discussion featuring food systems practitioners that are exploring and working within the different contours of the existing system and bravely exploring alternatives that aim to arrive at democratic, just, and equitable solutions. We’re inviting urban and rural farmers, producers and distributors, researchers, health practitioners, and consumers that all make up the different facets of a robust and dynamic food system to explore the various levers inside and outside of the systems we have inherited to join in a dynamic conversation.Catskills Agrarian Alliance (CAA) is a comprehensive food sovereignty project built from the ground up in Delaware, Otsego, and Schoharie Counties in New York State. We are regenerative farmers growing food and community to create and sustain a resilient food system capable of feeding us all. We manage a robust logistics network that helps with distribution of products from smaller collaborating farms to both markets and mutual aid organizations in the Catskills, Hudson Valley, and New York City.This event is co-sponsored by the NYU Environmental and Racial Justice Network (ERJN) as a part of the ERJN Spring 2023 Summit (taking place during NYU 2040 Now, a week-long, university-wide initiative to catalyze climate action). For more information and a full listing of ERJN Spring Summit events, visit the NYU ERJN webpage or sign up to receive updates via the ERJN listserv.","Catskills Agrarian Alliance","https://www.eventbrite.com/o/catskills-agrarian-alliance-63131789573"
"1681240392-216","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Climate MigrationClimate Migration","https://www.eventbrite.com/e/climate-migration-tickets-607427902207?aff=ebdssbdestsearch","Climate Migration","Thursday, April 27 · 5:30 - 6:30pm EDT","Great Room 19 University Place New York, NY 10003","About this event1 hourMobile eTicket Led by peer experts, discussions will center climate migrants, the politics and legal implications of migration, and urbanization. Food will be catered by Eat Offbeat, a refugee-run restaurant. And, of course, don't forget the (free) wine. Tickets are free. Event is open to the NYU community.","Sponsored by WagRAC, ACCE, and IRPA","https://www.eventbrite.com/o/sponsored-by-wagrac-acce-and-irpa-63795674463"
"1681240395-217","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Kyueun Kim on How VR Technology Is Changing TheatreKyueun Kim on How VR Technology Is Changing Theatre","https://www.eventbrite.com/e/kyueun-kim-on-how-vr-technology-is-changing-theatre-tickets-515183887877?aff=ebdssbdestsearch","Kyueun Kim on How VR Technology Is Changing Theatre","Starts on Monday, May 1 · 6pm EDT","New York Public Library for the Performing Arts -Bruno Walter Auditorium Enter via 111 Amsterdam Ave. between West 64th and 65th Street New York, NY 10023-7498","About this event1 hour 30 minutesMobile eTicketThis event will take place in person at The Library for the Performing Arts. The Library’s inaugural Theatre and Technology Fellow, Kyueun Kim, will discuss her project to document the oral histories of those who performed in the metaverse during the Covid-19 pandemic using the very virtual reality technologies that served as the platform for the original works.In 2022, the Library for the Performing Arts welcomed Kyueun Kim as the inaugural Theatre and Technology Fellow. In this lecture, Kim discusses the work she has completed through this fellowship to document oral histories of those who performed in the metaverse during the Covid-19 pandemic using the very virtual reality technologies that served as the platform for the original works.","New York Public Library for the Performing Arts","https://www.eventbrite.com/o/new-york-public-library-for-the-performing-arts-5993389089"
"1681240399-218","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","The Nest Climate Campus, Official Event Partner of Climate Week NYC 2023The Nest Climate Campus, Official Event Partner of Climate Week NYC 2023","https://www.eventbrite.com/e/the-nest-climate-campus-official-event-partner-of-climate-week-nyc-2023-tickets-483373441977?aff=ebdssbdestsearch","The Nest Climate Campus, Official Event Partner of Climate Week NYC 2023","September 19 · 8:30am - September 21 · 5:30pm EDT","Javits Center 445 11th Avenue New York, NY 10001","About this event2 days 9 hoursMobile eTicketThe Nest Climate CampusThe Nest Climate Campus,  home to hundreds of sustainable brands, businesses, individuals, and organizations, provides a unifying destination for climate action during Climate Week NYC.  We aim to accelerate climate solutions through collaboration and community. That’s why The Nest Climate Campus hosts cutting-edge discussions on the Main Stage, partners with leading organizations to bring Co-hosted Events under one green roof at the Javits Center, and bolsters rich networking opportunities through the various community engagement activities.It's all happening at the Javits Center during Climate Week NYC (September 19 - 21, 2023). About The Main Stage SummitWith your ticket, access the brightest minds and most committed organizations of the climate solutions movement! The Nest Summit Campus's Main Stage brings thought-leaders from leading organizations and the climate community together for two full days of education, inspiration, and collaboration. About The Campus Community Engagements & HappeningsConnecting communities is paramount at The Nest Climate Campus. In addition to the Summit Main Stage conference and Co-hosted Meetings & Events, attendees will enjoy extended community engagement activities. Partake in the many opportunities to explore, network, and feast!CLIMATE COLLECTIVEActivations and Networking Spaces Provide an Environment for Connecting with Colleagues and Discovering Climate Solutions. CLIMATE ARTSDesigned to Inspire, Immerse Yourself in the Intersection of Art and Action.GREEN ROOF TOURSThe Javits Center will be offering free tours of its 6.75-acre green roof, one of the largest of its kind in the United States! GARDEN EATERYAdjacent to the Javits' rooftop farm, orchard, and gardens, feast on a plant-based menu with vegan and vegetarian options for breakfast and lunch, and learn something new! Experience the circular story around the Javits food management system – from roof to table, local sourcing, and waste management. SPECIAL APPEARANCESHear from some of the most influential thought-leaders in the New York government and NGOs who are championing legislation and community service.  Please see our health & safety policy before arriving to the event. By registering for The Nest Climate Campus event, you agree to the event organizer's photo & video policy and privacy policy.","NXT Events Media Group","https://www.eventbrite.com/o/nxt-events-media-group-33584111599"
"1681240401-219","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Dental Climate Toolkit WorkshopDental Climate Toolkit Workshop","https://www.eventbrite.com/e/dental-climate-toolkit-workshop-tickets-529692052187?aff=ebdssbdestsearch","Dental Climate Toolkit Workshop","Thursday, April 13 · 1 - 5pm EDT","The Forum at Columbia University 601 West 125th Street New York, NY 10027","About this event4 hoursMobile eTicketThe Columbia University College of Dental Medicine and the Columbia Climate School Office of Interdisciplinary Engagement invite you to help workshop the pilot of our “Climate Toolkit”. This in-person session is designed for participants from both schools, with the aim of exploring the intersections between dental medicine, public health, and climate change, and with a focus on surfacing proactive solutions in the educational and professional sectors. Participants will:Be introduced to a shared framework and vocabulary of “climate basics” and “oral health”Explore and articulate climate intersections within their studies and professionBe introduced to and provide feedback on a “Climate Toolkit,” a focussed climate curriculum for dental professionals. This Toolkit is designed to be able to be modified and adapted for partners from multiple disciplines.","Columbia Climate School and Columbia Medical School","https://www.eventbrite.com/o/columbia-climate-school-and-columbia-medical-school-60070217543"
"1681240405-220","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Good Trouble: A Speaker SeriesGood Trouble: A Speaker Series","https://www.eventbrite.com/e/good-trouble-a-speaker-series-tickets-496411699757?aff=ebdssbdestsearch","Good Trouble: A Speaker Series","null","City Tech - New Academic Building 285 Jay Street Brooklyn, NY 11201","About this event“Good Trouble: Creativity + Collaboration” features architects, academics and change makers - and considers solutions to some of the most pressing problems in the built environment. The AIA framework for design excellence serves as an anchor and a springboard to explore sustainability, inclusivity and resilience in our borough, our city, and beyond. 1.5 AIA LU|HSW|AXPAIA Brooklyn members, City Tech students & faculty and New York City residents welcome.This program is IN PERSON ONLY. R﻿efreshments will be served in the Tillary Lobby at 530 PM and  the program starts promptly at 6 PM. T﻿his series is generously sponsored and supported by KPF and  Henning Larsen.E﻿VERY THIRD WEDNESDAY OF THE MONTHU﻿PCOMING EVENTS:April 19, 2023: Design for IntegrationDavid Gissen, Author “The Architecture of Disability”Peter Slatin, Journalist and President, Slatin Group LLCEman Rimawi-Doster, Executive Director, Harlem Independent Living Center*﻿ASL interpretation on site.May 17, 2023: D﻿esign for Ecosystems_﻿__P﻿AST EVENTS:January 18, 2023: Design for Energy: How can designers approach daylight through both a quantitative and qualitative lens, as well as through social, economic and justice frames?February 15, 2023: Design for Change: How does change affect communities in the built environment?Suleiman Osman, Author of ""Inventing Brownstone Brooklyn""S﻿haron E. Sutton, FAIA, Distinguished visiting professor at Parsons School of DesignH﻿umberto Martinez, Project Manager, Cypress Hills Development CorporationM﻿arch, 15, 2023: Design for Water: What are the challenges of the waterfront and how have designers tackled these issues with innovation?Richard E. Hanley is the founding director of the Brooklyn Waterfront Research Center at New York City College of Technology of the City University of New York (CUNY). Nathan Kensinger is a photographer, filmmaker, artist and journalist  and is currently a freelance environmental journalist at Gothamist/WNYC.Cortney Koenig Worrall is president and CEO of the Waterfront Alliance with expertise in climate resilience policy, campaign planning, community outreach, and public participation processes. NOTE: Every visitor to the City Tech campus, whether accessing indoor or outdoor spaces, must provide to Public Safety officers stationed at building entrances photo ID and either digital or hard copy proof of (A) Full Vaccination or (B) a negative COVID-19 PCR test performed by an accredited lab no more than 7 days prior to the visit. https://www.citytech.cuny.edu/returningsafely/comingtocampus.aspx#question4","AIA Brooklyn","https://www.eventbrite.com/o/aia-brooklyn-33024449195"
"1681240408-221","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Parameter Estimation for Improved Capacity of CLM for Actionable ScienceParameter Estimation for Improved Capacity of CLM for Actionable Science","https://www.eventbrite.com/e/parameter-estimation-for-improved-capacity-of-clm-for-actionable-science-tickets-523109603907?aff=ebdssbdestsearch","Parameter Estimation for Improved Capacity of CLM for Actionable Science","Starts on Thursday, April 27 · 3:30pm EDT","Columbia Innovation Hub Room 202 2276 12th Avenue Room 206 New York, NY 10027","About this event1 hour 30 minutesMobile eTicketParameter Estimation for Improved Capacity of Community Land Model for Actionable ScienceSpeaker: David Lawrence Date: April 27, 2023Time: 3:30 p.m. Format: HybridVirtual: Zoom link provided upon registrationIn-person: Columbia Innovation Hub, 2276 12th Avenue, Second Floor, Room 202, New York, NY 10027 *Please note that in-person space is limited.*__________________________________________________________________________________Abstract: The Community Land Model (CLM) is the land component of the Community Earth System Model (CESM). As the science of climate change evolves from questions about how much global climate change there will be to questions of what we are going to do to mitigate and adapt to this climate, the requirements for Earth System models (ESMs) are changing. Here, I will review how land models in ESMs are evolving to be applicable to an ever-growing range of questions related to food and water security, effectiveness of nature-based carbon dioxide removal methods, ecosystem vulnerability, and changes in extremes. I will focus on how parameter estimation, coupled with other model advances, can improve the utility of CLM and CESM for this broadening range of climate science objectives.Bio: David Lawrence is a Senior Scientist in NCAR’s Climate and Global Dynamics Laboratory.  He received a B.S. from the University of California at San Diego and a Ph.D. in Atmosphere and Ocean Sciences from the University of Colorado.  David has been at NCAR since 2004.  His research involves land processes and interactions with climate and climate-change.  He served as co-chair of the Land Model Working Group (LMWG) of the Community Earth System Model for 14 years, coordinating the development of many versions of the Community Land Model, culminating with CLM5 which was released in 2019. Learn More: LEAP DAVID LAWRENCE (NCAR)","LEAP Center","https://www.eventbrite.com/o/leap-center-45565168003"
"1681240411-222","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","The Vanishing,  Invisible Forest:  Telling Climate StoriesThe Vanishing,  Invisible Forest:  Telling Climate Stories","https://www.eventbrite.com/e/the-vanishing-invisible-forest-telling-climate-stories-tickets-579518614777?aff=ebdssbdestsearch","The Vanishing,  Invisible Forest:  Telling Climate Stories","Tuesday, April 18 · 6 - 8pm EDT","Roosevelt House 47-49 East 65th Street New York, NY 10065","About this event2 hoursMobile eTicketJoin the Pulitzer Center and Hunter College for a conversation with multimedia production team Dominic Smith and Andrew Robinson on Tuesday, April 18, 2023, on the making of their Pulitzer Center-supported project The Vanishing, Invisible Forest. The journalists will visit classrooms during the day, followed by a presentation and reception at New York City's Roosevelt House.Reporting for Scientific American and the Monterey Herald, Robinson and Smith dove into the turbulent waters of Monterey to document kelp growth and aquatic life as part of ongoing research about the possible solutions and inherent dangers when humans try to undo the damage caused by climate change. Using underwater videography, they captured the remaining forests, the urchin barrens, and the difficult nature of underwater research.","Pulitzer Center","https://www.eventbrite.com/o/pulitzer-center-11957633584"
"1681240415-223","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=2","Technology Challenge Finale + ReceptionTechnology Challenge Finale + Reception","https://www.eventbrite.com/e/technology-challenge-finale-reception-tickets-601760631247?aff=ebdssbdestsearch","Technology Challenge Finale + Reception","Wednesday, April 12 · 5:30 - 7:30pm EDT","Innovation Space @ Dinosaur Bar-B-Que 700 W 125th St New York, NY 10027","About this event2 hoursMobile eTicketJoin Columbia Engineering to celebrate our Millard Chan 99' Technology Challenge finalists and engineering startups on Wednesday, April 12th, 5:30 - 7:30 PM. The event will provide students, entrepreneurs, and founders with  space to present their startups to the entrepreneurship community.  Columbia Engineering will provide $50,000 in funding to the top three teams in the Tech Challenge. This event is open to all schools and students campus-wide.   Technology Challenge FinalistsSourceable: A platform providing verified data in real-time.Puberty: A fun gamified EdTech app for puberty! Qlassic: A hybrid quantum+classical computing software platform.KRIASH: Improve adherence of skin-to-skin contact in prematurity.Dooda: Sustainable, natural, innovative, insect-based ingredients for feed/food.Surplex: Enabling VR Body Motion Capturing with Shoes.Why attend?Support Columbia StartupsMeet our international startup guestsConnect with new and old friends!Excellent opportunity to get started and learn about entrepreneurship at Columbia","Columbia Engineering","https://www.eventbrite.com/o/columbia-engineering-3300164568"
